house_type,house_size,location,city,latitude,longitude,price,currency,numBathrooms,numBalconies,isNegotiable,priceSqFt,verificationDate,description,SecurityDeposit,Status
3 BHK Independent Floor ,"1,600 sq ft",Anand Niketan,Delhi,28.57889748,77.1645813,125000,INR,4,null,null,null,Posted 3 years ago,"Itâs a 3 bhk builder floor situated in Anand Niketan, Delhi. It has area of 1600 sqft and is available at a rent of Rs. 1.25 lac. It is a semi-furnished property. It is northeast facing property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. It is well connected to the city areas. Kindly call us for details. ",No Deposit,Semi-Furnished
3 BHK Independent Floor ,"1,600 sq ft",Anand Niketan,Delhi,28.57889748,77.1645813,125000,INR,4,null,null,null,Posted 3 years ago,"A spacious 3 bhk builder floor is available for rental in Anand Niketan, Delhi. It has an area of 1600 sqft with a carpet area of 1400 sqft . The property is available at a monthly rental of Rs. 1.25 lac . It is a semi-furnished property. It is northeast facing property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. The society is well connected by different modes of transportation. Kindly call us for details. ",No Deposit,Semi-Furnished
3 BHK Independent Floor ,"1,600 sq ft",Anand Niketan,Delhi,28.57889748,77.1645813,125000,INR,4,null,null,null,Posted 3 years ago,"Itâs a 3 bhk builder floor situated in Anand Niketan. It has area of 1600 sqft and is available at a rent of Rs. 1.25 lac. The house is semi-furnished. It is made in way to provide a comfortable living for the residents. The society is well connected by different modes of transportation. If you are interested, please contact us for more details. ",No Deposit,Semi-Furnished
3 BHK Independent Floor ,"1,600 sq ft",Anand Niketan,Delhi,28.57889748,77.1645813,125000,INR,4,null,null,null,Posted 3 years ago,"Itâs a 3 bhk builder floor situated in Anand Niketan, Delhi. It has a built-up area of 1600 sqft and is available for rent at Rs. 1.25 lac per month . It is a semi-furnished property. It is northeast facing property. This residential property is ready-to-move-in. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. ",No Deposit,Semi-Furnished
3 BHK Independent Floor ,"1,600 sq ft",Anand Niketan,Delhi,28.57889748,77.1645813,125000,INR,4,null,null,null,Posted 3 years ago,"Itâs a 3 bhk builder floor situated in Anand Niketan, Delhi. It has a built-up area of 1600 sqft and is available for rent at Rs. 1.25 lac per month . It is northeast facing property. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. ",No Deposit,Semi-Furnished
3 BHK Independent Floor ,"1,600 sq ft",Anand Niketan,Delhi,28.57889748,77.1645813,125000,INR,4,null,null,null,Posted 3 years ago,This spacious 3 bhk builder floor is available for rental and is located in the heart of Anand Niketan. It has an area of 1600 sqft with a carpet area of 1400 sqft . The property is available at a monthly rental of Rs. 1.25 lac . The house is semi-furnished. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. It is well connected to the city areas. Please contact for more details. ,No Deposit,Semi-Furnished
3 BHK Independent Floor ,"2,000 sq ft",Defence Colony,Delhi,28.57263374,77.23251343,180000,INR,4,null,null,null,Posted 3 years ago,"The house is semi-furnished. It is a ready-to-move-in property. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. If you are interested, please contact us for more details. ",No Deposit,Semi-Furnished
3 BHK Independent Floor ,"2,000 sq ft",Defence Colony,Delhi,28.57263374,77.23251343,180000,INR,4,null,null,null,Posted 3 years ago,"A 3 bhk property is available for rent in Defence Colony, Delhi. It has an area of 2000 sqft with a carpet area of 1800 sqft . The property is available at a monthly rental of Rs. 1.80 lac . The house is semi-furnished. It is facing northeast direction. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. Contact us for more details. ",No Deposit,Semi-Furnished
3 BHK Independent Floor ,"2,000 sq ft",Defence Colony,Delhi,28.57263374,77.23251343,180000,INR,4,null,null,null,Posted 3 years ago,"This spacious 3 bhk builder floor is available for rental and is located in the heart of Defence Colony. It has area of 2000 sqft and is available at a rent of Rs. 1.80 lac. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact for more details. ",No Deposit,Semi-Furnished
3 BHK Independent Floor ,"2,000 sq ft",Defence Colony,Delhi,28.57263374,77.23251343,180000,INR,4,null,null,null,Posted 3 years ago,"A 3 bhk property is available for rent in Defence Colony, Delhi. It has area of 2000 sqft and is available at a rent of Rs. 1.80 lac. It is a semi-furnished property. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact us for more details. ",No Deposit,Semi-Furnished
3 BHK Independent Floor ,"2,000 sq ft",Defence Colony,Delhi,28.57263374,77.23251343,180000,INR,4,null,null,null,Posted 3 years ago,Well designed 3 bhk builder floor is available at a prime location in Defence Colony. It has an area of 2000 sqft with a carpet area of 1800 sqft . The property is available at a monthly rental of Rs. 1.80 lac . The house is semi-furnished. It is northeast facing property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. Please contact us for more details. ,No Deposit,Semi-Furnished
3 BHK Independent Floor ,"2,000 sq ft",Defence Colony,Delhi,28.57263374,77.23251343,180000,INR,4,null,null,null,Posted 3 years ago,"A spacious 3 bhk builder floor is available for rental in Defence Colony, Delhi. It is a semi-furnished property. It is facing northeast direction. This residential property is ready-to-move-in. The society is well connected by different modes of transportation. If you are interested, please contact us for more details. ",No Deposit,Semi-Furnished
3 BHK Independent Floor ,"1,600 sq ft",Anand Niketan,Delhi,28.57889748,77.1645813,125000,INR,4,null,null,null,Posted 3 years ago,Well designed 3 bhk builder floor is available at a prime location in Anand Niketan. It has an area of 1600 sqft with a carpet area of 1400 sqft . The property is available at a monthly rental of Rs. 1.25 lac . The house is semi-furnished. It is northeast facing property. It is a ready-to-move-in property. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. Please contact us for more details. ,No Deposit,Semi-Furnished
3 BHK Independent Floor ,"1,600 sq ft",Anand Niketan,Delhi,28.57889748,77.1645813,125000,INR,4,null,null,null,Posted 3 years ago,Itâs a 3 bhk builder floor situated in Anand Niketan. It has a built-up area of 1600 sqft and is available for rent at Rs. 1.25 lac per month . It is a semi-furnished property. This residential property is ready-to-move-in. The society is well connected by different modes of transportation. Kindly call us for details. ,No Deposit,Semi-Furnished
3 BHK Independent Floor ,"1,600 sq ft",Anand Niketan,Delhi,28.57889748,77.1645813,125000,INR,4,null,null,null,Posted 3 years ago,Itâs a 3 bhk builder floor situated in Anand Niketan. It has area of 1600 sqft and is available at a rent of Rs. 1.25 lac. It is a semi-furnished property. It is northeast facing property. This residential property is ready-to-move-in. Kindly call us for details. ,No Deposit,Semi-Furnished
3 BHK Independent Floor ,"1,600 sq ft",Anand Niketan,Delhi,28.57889748,77.1645813,125000,INR,4,null,null,null,Posted 3 years ago,"A spacious 3 bhk builder floor is available for rental in Anand Niketan, Delhi. It has an area of 1600 sqft with a carpet area of 1400 sqft . The property is available at a monthly rental of Rs. 1.25 lac . The house is semi-furnished. Its main door is facing northeast direction. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Contact us for more details. ",No Deposit,Semi-Furnished
3 BHK Independent Floor ,"1,600 sq ft",Anand Niketan,Delhi,28.57889748,77.1645813,125000,INR,4,null,null,null,Posted 3 years ago,"Itâs a 3 bhk builder floor situated in Anand Niketan, Delhi. It has an area of 1600 sqft with a carpet area of 1400 sqft . The property is available at a monthly rental of Rs. 1.25 lac . It is a semi-furnished property. It is northeast facing property. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact for more details. ",No Deposit,Semi-Furnished
3 BHK Independent Floor ,"1,600 sq ft",Anand Niketan,Delhi,28.57889748,77.1645813,125000,INR,4,null,null,null,Posted 3 years ago,This spacious 3 bhk builder floor is available for rental and is located in the heart of Anand Niketan. It has an area of 1600 sqft with a carpet area of 1400 sqft . The property is available at a monthly rental of Rs. 1.25 lac . The house is semi-furnished. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. Contact us for more details. ,No Deposit,Semi-Furnished
3 BHK Independent Floor ,"1,600 sq ft",Anand Niketan,Delhi,28.57889748,77.1645813,125000,INR,4,null,null,null,Posted 3 years ago,"Itâs a 3 bhk builder floor situated in Anand Niketan, Delhi. It has a built-up area of 1600 sqft and is available for rent at Rs. 1.25 lac per month . It is a semi-furnished property. Its main door is facing northeast direction. It is a ready-to-move-in property. It is well connected to the city areas. ",No Deposit,Semi-Furnished
3 BHK Independent Floor ,"1,800 sq ft",Pitampura,Delhi,28.69317627,77.13703156,60000,INR,3,null,null,null,Posted 10 days ago,"It has a built-up area of 1800 sqft and is available for rent at Rs. 60,000 per month . The house is furnished. Furnishings include 1 tv, 1 refrigerator, 1 sofa, 1 washing machine, 1 microwave, 1 dining table, 1 gas connection, 1 ac and 1 bed. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Contact us for more details. ",No Deposit,Furnished
3 BHK Independent Floor ,"1,800 sq ft",Pitampura,Delhi,28.69649315,77.13860321,48000,INR,3,null,null,null,Posted 10 days ago,"Itâs a 3 bhk builder floor situated in Pitampura. It is a semi-furnished property. It is facing north direction. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. If you are interested, please contact us for more details. ",No Deposit,Semi-Furnished
3 BHK Independent Floor ,"1,800 sq ft",Shakurpur,Delhi,28.68938446,77.13739777,45000,INR,3,null,null,null,Posted 10 days ago,"Itâs a 3 bhk builder floor situated in Shakurpur. It has an area of 1800 sqft with a carpet area of 1700 sqft . The property is available at a monthly rental of Rs. 45,000 . The house is semi-furnished. It is north facing property. It is a 6 year old ready-to-move-in property. It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. Please contact for more details. ",No Deposit,Semi-Furnished
3 BHK Independent Floor ,"1,800 sq ft",Green Park,Delhi,28.55806351,77.20298767,85000,INR,3,null,null,null,Posted a year ago,"Well designed 3 bhk builder floor is available at a prime location in Green Park. It has an area of 1800 sqft with a carpet area of 1600 sqft . The property is available at a monthly rental of Rs. 85,000 . The house is semi-furnished. It is northeast facing property. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. It is situated in the proximity of all the important facilities. If you are interested, please contact us for more details. ",No Deposit,Semi-Furnished
2 BHK Independent Floor ,700 sq ft,Razapur Khurd,Delhi,28.63395691,77.0362854,14000,INR,2,null,null,null,Posted a month ago,"This is a modern and stylish home available for affordable rent in Delhi. It is a 2 BHK Independent Floor situated at Nawada. Designed to meet your lifestyle needs, the Independent Floor provides a range of modern amenities for the comfort of the residents. It is Fully Furnished. Modern home seekers will experience a comfortable living in this 2 BHK property. The Independent Floor is on 1 floor, and the total number of floors is 4. The 2 BHK unit is elegantly designed to meet your housing needs. The Independent Floor has 2 bedrooms. It has 2 bathroom. The 2 BHK unit also includes 2 balcony giving splendid views of the surroundings. It is a East facing unit, designed as per vaastu principles. The built-up area of the Independent Floor is 700 Square feet. The carpet area is 650 Square feet. The monthly rent for the Independent Floor is Rs 14000. The security deposit is Rs 14000. Project Highlights The developer also offers 2 BHK units as a part of this project. The property offers various facilities for residents such as Intercom. There is a provision for lift facility. Residents have access to power backup facility. The locality Nawada enjoys good connectivity and convenience in terms of a well-developed social infrastructure",No Deposit,Furnished
1 BHK Apartment ,700 sq ft,Vasant Kunj,Delhi,28.52632713,77.15073395,25000,INR,2,null,null,null,Posted a month ago,"A 1 bhk property is available for rent in Vasant Kunj, Delhi. It has an area of 700 sqft with a carpet area of 600 sqft . The property is available at a monthly rental of Rs. 25,000 . It is a furnished property. Its main door is facing northeast direction. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. ",No Deposit,Furnished
2 BHK Independent Floor ,850 sq ft,Uttam Nagar,Delhi,28.62089157,77.0579834,18000,INR,2,null,null,null,Posted a month ago,"If you are looking for a modern house on rent in Delhi, this Independent Floor in Uttam Nagar can be your perfect home. It is a 2 BHK Independent Floor designed to meet your space and lifestyle needs. The 2 BHK unit is fully furnished. This rented 2 BHK property is spacious and well-designed, with access to all the conveniences for any modern home seeker. It is located on floor 2 out of a total 4 floors . The Independent Floor has 2 bedrooms and 2 bathroom. It also has 2 balcony, giving uninterrupted views of the surroundings. There is lush greenery around this Independent Floor. It is a East facing Independent Floor designed as per vaastu principles. The carpet area of this unit is 800 square_feet. The built-up area is 850 square_feet. The monthly rent payable for this Independent Floor is Rs 18000. The security deposit is Rs 18000. Project Highlights The project also offers 2 BHK units. Residents can access numerous facilities, including Intercom. This Independent Floor provides power backup facility for the residents. There is a state-of-the-art lift facility",No Deposit,Furnished
2 BHK Independent Floor ,700 sq ft,Uttam Nagar,Delhi,28.61945724,77.05670929,13000,INR,2,null,null,null,Posted a month ago,"Check out this Independent Floor available for rent in Uttam Nagar in Delhi. It is a 2 BHK unit that comes at an affordable rent, with modern features and premium amenities to suit your lifestyle needs. The unit is fully furnished. It is an East facing property that has been constructed as per vaastu principles. With numerous new-age amenities and green surroundings, this Independent Floor provides a convenient lifestyle for residents. A spacious house for your family, this unit includes 2 bedrooms. There are 2 bathroom and 2 balcony. It has a built-up area of 700 square_feet. The carpet area is 650 square_feet. The Independent Floor is built on 4 floor. The building has a total of 4 floors. The monthly rent is Rs 13000 and the security deposit to be paid by residents is Rs 13000. Project Highlights The developer also provides other units of 2 BHK configuration. Many amenities have been provided for the residents of this Independent Floor. The amenities include Intercom. There is also provision for power backup facility. There is a modern lift facility. The locality Uttam Nagar enjoys good connectivity to different parts of the city. The residents of this Independent Floor will find many reputed healthcare centres in the neighborhood",No Deposit,Furnished
2 BHK Independent Floor ,650 sq ft,Uttam Nagar,Delhi,28.62089157,77.0579834,11000,INR,2,null,null,null,Posted a month ago,"If you are looking for a modern house on rent in Delhi, this Independent Floor in Uttam Nagar can be your perfect home. It is a 2 BHK Independent Floor designed to meet your space and lifestyle needs. The 2 BHK unit is Semi Furnished. This rented 2 BHK property is spacious and well-designed, with access to all the conveniences for any modern home seeker. It is located on floor 2 out of a total 4 floors . The Independent Floor has 2 bedrooms and 2 bathroom. It also has 2 balcony, giving uninterrupted views of the surroundings. There is lush greenery around this Independent Floor. It is a East facing Independent Floor designed as per vaastu principles. The carpet area of this unit is 600 Square feet. The built-up area is 650 Square feet. The monthly rent payable for this Independent Floor is Rs 11000. The security deposit is Rs 11000. Project Highlights The project also offers 2 BHK units. Residents can access numerous facilities, including Intercom. This Independent Floor provides power backup facility for the residents. There is a state-of-the-art lift facility",No Deposit,Semi-Furnished
3 BHK Apartment ,"1,750 sq ft",Sector 22 Dwarka,Delhi,28.56072044,77.05971527,45000,INR,3,null,null,null,Posted 2 months ago,"A spacious 3 bhk multistorey apartment is available for rental in Sector 22 Dwarka, Delhi. It has an area of 1750 sqft with a carpet area of 1350 sqft . The property is available at a monthly rental of Rs. 45,000 . It is a semi-furnished property. Its main door is facing northeast direction. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Contact us for more details. ",No Deposit,Semi-Furnished
1 BHK Independent Floor ,600 sq ft,Uttam Nagar,Delhi,28.61868668,77.04715729,8299,INR,1,null,null,null,Posted a month ago,"A spacious home designed for families aspiring for a modern lifestyle, this Independent Floor is available for affordable rent in Delhi. It is a 1 BHK Independent Floor situated in Uttam Nagar at a coveted location with well-developed infrastructure. This Independent Floor is a good example of a well-planned residential property with all new-age conveniences available for the residents. The unit is semi furnished. The 1 BHK property has been impeccably designed property to meet the space needs of a contemporary home seeker. The property is East facing, built as per vaastu principles. This 1 BHK unit is built on floor 1 out of a total 4 floors. There are 1 bedroom and 1 bathroom. There are 1 balcony, giving majestic views of the outside world. The built-up area of this property is 600 square_feet. The monthly rent that has to be paid is Rs 8299. The security deposit payable by the residents is Rs 8299. Project Highlights The residential property provides various amenities such as Intercom. Residents of this Independent Floor can enjoy the serene and lush green surroundings. There is lift facility inside this property. They will also find shops and utility stores within easy reach",No Deposit,Semi-Furnished
2 BHK Independent Floor ,700 sq ft,Uttam Nagar,Delhi,28.61945724,77.05670929,11000,INR,2,null,null,null,Posted a month ago,"Your search for a spacious home at affordable rent in Delhi ends here. This 2 BHK Independent Floor in Uttam Nagar is all that you have been looking for! Designed as East facing, the unit is compliant with vaastu principles. The 2 BHK property offers a serene environment with excellent views of the city. This Independent Floor is equipped with the latest lifestyle amenities and all the conveniences at the doorstep. It is semi furnished Independent Floor. This unit is built on floor 1 out of a total 4 floors. The Independent Floor has been thoughtfully designed to meet a family?s space needs, with 2 bedrooms. It includes 2 bathroom. There are 2 balcony that lets you enjoy scenic views. The built-up area of this Independent Floor is 700 square_feet. The carpet area is 650 square_feet. Residents need to pay a monthly rent of Rs 11000. The security deposit payable is Rs 11000. Project Highlights The property also has power backup facility. A cctv facility has been installed in this property which provides a secure lifestyle for the occupants. The Independent Floor is in proximity to major landmarks in Delhi. Families of this Independent Floor have easy access to healthcare centres when they need medical assistance, especially in emergencies",No Deposit,Semi-Furnished
2 BHK Independent Floor ,650 sq ft,Uttam Nagar,Delhi,28.61945724,77.05670929,9000,INR,1,null,null,null,Posted a month ago,"A spacious home designed for families aspiring for a modern lifestyle, this Independent Floor is available for affordable rent in Delhi. It is a 2 BHK Independent Floor situated in Uttam Nagar at a coveted location with well-developed infrastructure. This Independent Floor is a good example of a well-planned residential property with all new-age conveniences available for the residents. The unit is semi furnished. The 2 BHK property has been impeccably designed property to meet the space needs of a contemporary home seeker. The property is East facing, built as per vaastu principles. This 2 BHK unit is built on floor 1 out of a total 4 floors. There are 2 bedrooms and 1 bathroom. There are 1 balcony, giving majestic views of the outside world. The built-up area of this property is 650 square_feet. The carpet area of this Independent Floor is 600 square_feet. The monthly rent that has to be paid is Rs 9000. The security deposit payable by the residents is Rs 9000. Project Highlights The residential property provides various amenities such as Intercom. Residents of this Independent Floor can enjoy the serene and lush green surroundings. They will also find shops and utility stores within easy reach",No Deposit,Semi-Furnished
1 BHK Independent Floor ,650 sq ft,Dwarka Mor,Delhi,28.6241684,77.0315094,12000,INR,1,null,null,null,Posted 13 days ago,"This is a modern and stylish home available for affordable rent in Delhi. It is a 1 BHK Independent Floor situated at Nawada. Designed to meet your lifestyle needs, the Independent Floor provides a range of modern amenities for the comfort of the residents. It is fully furnished. Modern home seekers will experience a comfortable living in this 1 BHK property. The Independent Floor is on 2 floor, and the total number of floors is 4. The 1 BHK unit is elegantly designed to meet your housing needs. The Independent Floor has 1 bedroom. It has 1 bathroom. The 1 BHK unit also includes 1 balcony giving splendid views of the surroundings. It is a East facing unit, designed as per vaastu principles. The built-up area of the Independent Floor is 650 square_feet. The carpet area is 600 square_feet. The monthly rent for the Independent Floor is Rs 12000. The security deposit is Rs 12000. Project Highlights The developer also offers 1 BHK units as a part of this project. There is a provision for lift facility. Residents have access to power backup facility. The locality Nawada enjoys good connectivity and convenience in terms of a well-developed social infrastructure",No Deposit,Furnished
1 BHK Independent Floor ,650 sq ft,Dwarka Mor,Delhi,28.6241684,77.0315094,13000,INR,1,null,null,null,Posted 13 days ago,"Are you looking for an affordable Independent Floor for rent in Delhi?. Here is a spacious 1 BHK Independent Floor in Nawada, promising a comfortable lifestyle. The Independent Floor is fully furnished. Built on floor 1 out of a total 4 floors, it is an ideal home providing beautiful views of the city?s skyline. This property is designed to suit your space needs and has 1 bedroom and 1 bathroom. It also includes 1 balcony. This rented Independent Floor is East facing and compliant with vaastu Shastra principles. Nestled inside a gated society, this 1 BHK Independent Floor is a perfect accommodation for families seeking a contemporary lifestyle. The built-up area of the residential property is 650 square_feet. The carpet area of this modern rented Independent Floor is 600 square_feet. There is also a provision of lift facility that gives convenience to the families, especially senior citizens. The property is equipped with power backup facility. The Independent Floor is available for a monthly rent of Rs 13000. The security deposit payable is Rs 13000. Project Highlights The developer is known for delivering quality projects in Delhi. There are attractive amenities available for the residents of this Independent Floor that fulfil all the needs of a modern-day lifestyle. There are various new-age facilities such as Intercom",No Deposit,Furnished
3 BHK Independent Floor ,"1,350 sq ft",Mansarover Garden,Delhi,28.64325905,77.13282776,45000,INR,2,null,null,null,Posted 11 days ago,"A spacious 3 bhk builder floor is available for rental in Mansarover Garden, Delhi. It has a built-up area of 1350 sqft and is available for rent at Rs. 45,000 per month . Its main door is facing north direction. It is a 6 year old ready-to-move-in property. It is situated in the proximity of all the important facilities. Please contact for more details. ",No Deposit,Semi-Furnished
1 BHK Independent Floor ,600 sq ft,Uttam Nagar,Delhi,28.61945724,77.05670929,8800,INR,1,null,null,null,Posted 11 days ago,"This is a well-designed 1 BHK Independent Floor available for rent. It is situated in a prime location of Delhi at Uttam Nagar. This modern Independent Floor is semi furnished. The 1 BHK unit fulfills all the needs of a modern lifestyle for families. There is a total of 4 floors. This unit is on 1 floor. The Independent Floor provides complete comfort for the residents. The Independent Floor lets you enjoy the lush greenery around. Meticulously designed to meet your housing needs, this unit has 1 bedroom and 1 bathroom. It includes 1 balcony allowing residents to catch a glimpse of the city?s skyline. This rented Independent Floor has been developed as East facing in compliance with vaastu principles. The carpet area is 550 square_feet. The total built-up area is 600 square_feet. The total monthly rent is Rs 8800. The security deposit payable is Rs 8800. Project Highlights Numerous facilities have been provided for the comfort of the residents of this Independent Floor. It includes Intercom. There is provision for lift facility, which has been constructed as per the latest standards. Residents also have access to power backup facility. This gated society at Uttam Nagar brings all the modern conveniences to your doorstep. The locality is well-developed and gives access to important landmarks of Delhi",No Deposit,Semi-Furnished
3 BHK Independent Floor ,"1,080 sq ft",Dwarka Mor,Delhi,28.6262207,77.03955078,18000,INR,2,null,null,null,Posted 13 days ago,"Here is an excellent 3 BHK Independent Floor available for rent in Delhi. Surrounded by natural greens and equipped with numerous amenities, this rented 3 BHK house offers a comfortable lifestyle for families. It is a spacious property nestled in Nawada that enjoys good connectivity to major landmarks of the city. The Independent Floor is on the 1 floor. There is a total of 4 floors. The Independent Floor is designed as per modern construction standards. It has 3 bedrooms and 2 bathroom. It is East facing. The 3 BHK unit is thoughtfully designed to meet the space needs of a modern family and allows ample sunlight and fresh air. There are 2 balcony in this unit where residents can spend a relaxed evening and enjoy excellent views of the surroundings. This Independent Floor has 1080 square_feet of built-up area. The monthly rent payable is Rs 18000, and the security deposit to be paid is Rs 18000. Project Highlights Several lifestyle amenities have been provided for the residents of this Independent Floor to ensure a sophisticated living. They include Intercom. There is a state-of-the-art lift facility. A power backup facility has been provided within this property. The locality Nawada provides comfortable social infrastructure",No Deposit,Semi-Furnished
1 BHK Independent Floor ,650 sq ft,Dwarka Mor,Delhi,28.6241684,77.0315094,12000,INR,1,null,null,null,Posted 13 days ago,"This is a modern and stylish home available for affordable rent in Delhi. It is a 1 BHK Independent Floor situated at Nawada. Designed to meet your lifestyle needs, the Independent Floor provides a range of modern amenities for the comfort of the residents. It is fully furnished. Modern home seekers will experience a comfortable living in this 1 BHK property. The Independent Floor is on 2 floor, and the total number of floors is 4. The 1 BHK unit is elegantly designed to meet your housing needs. The Independent Floor has 1 bedroom. It has 1 bathroom. The 1 BHK unit also includes 1 balcony giving splendid views of the surroundings. It is a East facing unit, designed as per vaastu principles. The built-up area of the Independent Floor is 650 square_feet. The carpet area is 600 square_feet. The monthly rent for the Independent Floor is Rs 12000. The security deposit is Rs 12000. Project Highlights The developer also offers 1 BHK units as a part of this project. There is a provision for lift facility. Residents have access to power backup facility. The locality Nawada enjoys good connectivity and convenience in terms of a well-developed social infrastructure",No Deposit,Furnished
3 BHK Independent Floor ,"1,350 sq ft",Kirti Nagar,Delhi,28.64817238,77.14144897,40000,INR,3,null,null,null,Posted 14 days ago,"Itâs a 3 bhk builder floor situated in Kirti Nagar. It has a built-up area of 1350 sqft and is available for rent at Rs. 40,000 per month . It is a semi-furnished property. Its main door is facing north direction. It is a ready-to-move-in property. It is made in way to provide a comfortable living. ",No Deposit,Semi-Furnished
1 RK Studio Apartment ,500 sq ft,Uttam Nagar,Delhi,28.61945724,77.05670929,6500,INR,1,null,null,null,Posted 4 days ago,"Your search for a spacious home at affordable rent in Delhi ends here. The 1 BHK property offers a serene environment with excellent views of the city. This Independent Floor is equipped with the latest lifestyle amenities and all the conveniences at the doorstep. It is fully furnished Independent Floor. This unit is built on floor 0 out of a total 4 floors. The Independent Floor has been thoughtfully designed to meet a family?s space needs, with 1 bedroom. It includes 1 bathroom. There are 1 balcony that lets you enjoy scenic views. Residents need to pay a monthly rent of Rs 6500. The security deposit payable is Rs 6500. Project Highlights Families have access to various amenities such as Intercom. There is a provision for lift facility. The property also has power backup facility. The Independent Floor is in proximity to major landmarks in Delhi. Families of this Independent Floor have easy access to healthcare centres when they need medical assistance, especially in emergencies. They include Gandhi Hospital, Mata Roop Rani Maggo Hospital and IVF Centre, Highland Care Multispeciality Hospital",No Deposit,Furnished
1 RK Studio Apartment ,500 sq ft,Uttam Nagar,Delhi,28.61945724,77.05670929,6500,INR,1,null,null,null,Posted 4 days ago,"Your search for a spacious home at affordable rent in Delhi ends here. The 1 BHK property offers a serene environment with excellent views of the city. This Independent Floor is equipped with the latest lifestyle amenities and all the conveniences at the doorstep. It is fully furnished Independent Floor. This unit is built on floor 0 out of a total 4 floors. The Independent Floor has been thoughtfully designed to meet a family?s space needs, with 1 bedroom. It includes 1 bathroom. There are 1 balcony that lets you enjoy scenic views. Residents need to pay a monthly rent of Rs 6500. The security deposit payable is Rs 6500. Project Highlights Families have access to various amenities such as Intercom. There is a provision for lift facility. The property also has power backup facility. The Independent Floor is in proximity to major landmarks in Delhi. Families of this Independent Floor have easy access to healthcare centres when they need medical assistance, especially in emergencies. They include Gandhi Hospital, Mata Roop Rani Maggo Hospital and IVF Centre, Highland Care Multispeciality Hospital",No Deposit,Furnished
3 BHK Apartment ,"1,670 sq ft",Karampura,Delhi,28.66576004,77.15023041,70000,INR,3,null,null,null,Posted 3 days ago,"A 3 bhk property is available for rental in DLF Capital Greens, Karampura, Delhi. It has an area of 1670 sqft with a carpet area of 1670 sqft . The property is available at a monthly rental of Rs. 70,000 . The house is furnished. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. ",No Deposit,Furnished
3 BHK Independent Floor ,"1,500 sq ft",Kirti Nagar,Delhi,28.64817238,77.14144897,45000,INR,2,null,null,null,Posted a day ago,This spacious 3 bhk builder floor is available for rental and is located in the heart of Kirti Nagar. It is a semi-furnished property. It is north facing property. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. It is well connected to the city areas. Please contact us for more details. ,No Deposit,Semi-Furnished
2 BHK Independent Floor ,600 sq ft,Ramesh Nagar,Delhi,28.64705849,77.13123322,16000,INR,1,null,null,null,Posted a day ago,"Well designed 2 bhk builder floor is available at a prime location in Ramesh Nagar. It has area of 600 sqft and is available at a rent of Rs. 16,000. It is a semi-furnished property. It is facing north direction. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. If you are interested, please contact us for more details. ",No Deposit,Semi-Furnished
2 BHK Independent Floor ,900 sq ft,Ramesh Nagar,Delhi,28.64922142,77.13320923,32000,INR,2,null,null,null,Posted a day ago,"Well designed 2 bhk builder floor is available at a prime location in Ramesh Nagar. It has an area of 900 sqft with a carpet area of 900 sqft . The property is available at a monthly rental of Rs. 32,000 . The house is furnished. It is west facing property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. The society is well connected by different modes of transportation. Contact us for more details. ",No Deposit,Furnished
