,Date Published,Overall Rating,Passenger Country,Trip_verified,Comment title,Comment,Aircraft,Type Of Traveller,Seat Type,Origin,Destination,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Value For Money,Recommended,Inflight Entertainment,Wifi & Connectivity
648,2019-06-25,1,United Kingdom,Trip Verified,"""never to fly with Ryanair again""","Kiev to Stansted. I used to fly this airline many times before and took this tolerant as I understand that this is a budget airline, but this would be the last time me and my friend are flying with this airline ever. The cost of the ticket is small when you buy it many weeks before, if you buy few days before it increases by almost every minute but okay, can take that, but then the online check in closes 3-4 hours before your departure and if you didn’t check in and printed off your boarding pass, you gotta pay 55€ at the airport for you to check in on the flight that might have costed you 10€ or 200€ on the same flight same seat just if gotten later and this is without the luggage. The luggage costs another 30-50€. And also, if your on-board bag is bigger than supposed to be by few sm, you pay another 25€. The airplane is extremely uncomfortable, the seats are uncomfortable. The flights are late on boarding and the customer service and the service on board are very low as well. So it might turn up that you actually pay more, than flying on normal airline. Me and my many friends decided never to fly with Ryanair again, rather pay more for a comfort normal airline and never worry that you might be charged on top or you might be late without them saying sorry. So before hunting for a lower cost, really think about it",,Couple Leisure,Economy Class,Kiev,Stansted,June 2019,1.0,1.0,,1.0,2.0,no,,
649,2019-06-21,6,United Kingdom,Trip Verified,"""flight was delayed by 60 minutes""","Our flight was delayed by 60 minutes going from Palma to London Stansted. Not awful but after doing some research online, apparently Ryanair has been late arriving at Palma from London Stansted roughly every other day in June 2019. Recommend building in some extra travel time going back to the UK if you opt to use this airline.",Boeing 737,Family Leisure,Economy Class,Palma,London Stansted,June 2019,3.0,4.0,4.0,2.0,3.0,no,,
650,2019-06-21,9,Czech Republic,Not Verified,"""Another good experience with Ryanair""","Another good experience with Ryanair. Great price on the ticket. Flight was pretty much on time. Staff were nice. Boarding was fairly smooth but involved a bit of queuing up, this is by no means unique to Ryanair though. Plane was new, and seats were the thin type which means you have a passable amount of legroom. Had food on board - selection was actually good, price was reasonable and quality was ok. I just don't understand why so many people still criticise this airline - you're paying budget prices - what do you expect? Just don't be an idiot and turn up with excess baggage or having not checked in. Ryanair must send about 10 reminders about this, but some people seem to still miss it. Or, they figure they will just do it anyway, and then stamp their feet to get an exception - don't bother - you're just wasting your time and money, and you will stress yourself out. My two detractors are 'priority' is not really priority these days, because half the plane has it, it should really be seen as a cabin suitcase surcharge, and I think Ryanair may as well just rename it as that. Also, if you have young kids, probably not the best choice because you will probably have to queue up a bit and use a bus to get from the gate to the plane.",Boeing 737-800,Solo Leisure,Economy Class,Prague,Liverpool,June 2019,4.0,5.0,4.0,5.0,5.0,yes,,
651,2019-06-20,8,United Arab Emirates,Trip Verified,"""I was very satisfied""",Faro to Eindhoven. My first time to travel with Ryanair and I was very satisfied. I paid for no extras. Seats are fine but don't recline. The nicest part of the trip was how polite and friendly the flight attendants were. We arrived punctually.,,Solo Leisure,Economy Class,Faro,Eindhoven,June 2019,3.0,5.0,,4.0,5.0,yes,,
652,2019-06-20,7,Greece,Trip Verified,"""it was standard Ryanair service""","Athens to Catania return with friends (group of 4). Booked a cheap fare (80€) and traveled only with a backpack. Used the app and did not pay for any extras. Got seats 3C (first row aisle) and 33F (last row window). Both flights very full. We were given seats far apart but we did not mind. Outbound flight left on time, return flight used an air-bridge at departure airport - it's the 1st time I encountered this with this airline. This delayed the boarding process a lot, as people were only entering from the front and trying to swap seats in order to sit with their friends/partners/families and they were doing that with their hand luggage, causing a delay of departure of almost 50' (landing 20' late). Majority of the passengers had bought priority, so it's not really priority. Beyond this, it was standard Ryanair service.",Boeing 737-800,Solo Leisure,Economy Class,Athens,Catania,June 2019,4.0,4.0,,3.0,5.0,yes,,
653,2019-06-16,10,France,Not Verified,"""pleasure flying with you""",Bergerac to Stansted. I have been flying with Ryanair for the last 10 years every 3 weeks from Bergerac to Stansted to and from for work. And have only once had my flight cancelled but that was due to French strikes. And only had maybe 2 or 3 delays. Not bad going for 10 years of traveling. Thank you it was a pleasure flying with you.,,Solo Leisure,Economy Class,Bergerac,Stansted,June 2019,5.0,5.0,5.0,5.0,5.0,yes,,
654,2019-06-11,2,Sweden,Trip Verified,"""55 euros give boarding pass""",Barcelona to Prague. Ryanair charges 55 euros cash at the desk to give you your boarding pass if you do not check-in online!  Our flight should depart at 1 pm but they departed at 2 pm!,,Solo Leisure,Economy Class,Barcelona,Prague,June 2019,2.0,3.0,3.0,1.0,1.0,no,,
655,2019-06-11,1,Canada,Not Verified,"""charged extra to check in""",Athens to Santorini. Worst experience ever. Was not able to check in prior to flying. Worst for luggage. Was charged extra to check in at the airport. They are money grabber. Fool you by cheap flight then you are charged extra . Couldn’t even download their app to check in. Don’t fly with Ryanair.,,Family Leisure,Economy Class,Athens,Santorini,June 2019,1.0,1.0,,1.0,1.0,no,,
656,2019-06-10,1,United Kingdom,Trip Verified,"""refused to allow me to board""",Murcia to Luton. Had a minor disagreement with ground staff as I was boarding the plain. It was regarding my hand luggage. I was not threatening violence or aggressive in any way. Staff were rude also giggling amongst themselves. I had a disabled son I had left at home with Carers so it was even more important I got on this flight. I explained all this & even resulted in showing the staff pictures off my son. To my dismay they shut the doors and refused to allow me to board. I was left in utter dismay whilst the young immature worker continued to giggle like a 10 year old! Worst airline ever.,,Family Leisure,Economy Class,Murcia,Luton,June 2019,1.0,2.0,2.0,1.0,1.0,no,,
657,2019-06-10,5,Ireland,Trip Verified,"""no consistency in the product""","Dublin to Barcelona return. I didn't opt for allocated seating or priority and saved 40 euro. I waited until this last moment to check in and got a lovely extra leg room seat. I also brought my own food. Staff were nice and polite and everything went very smoothly on the outbound and return trip. There was not the same sales sales sales as there was on a previous flight to Malta and the staff dimmed the cabin lights so children could get some sleep. Overall not bad but there is no overall consistency in the product, it depends on the crew. This flight was good perhaps because of the other competition on the route by EI and Vueling but when I travelled to Malta (detailed previously- it was horrendous money grabbing experience on board where the blue lights on a night flight were only turned of as the plane hit the tarmac in Valetta and the staff sold drink to people who were way past their safety limit). I think Ryanair really need to work on culture and values and have a consistent approach to customer service.",Boeing 737,Solo Leisure,Economy Class,Dublin,Barcelona,May 2019,2.0,4.0,,3.0,3.0,yes,,
658,2019-06-09,1,United Kingdom,Not Verified,"""not recommend this airline""",Stansted to Rhodes. Got to the airport and they charged me 40 for two cases because apparently I hadn't paid which i had the paper work to but they wasn't interested. By the time our cases were sorted and we got to the gate it had closed and the realised that check in desk hadn't gave us our boarding passes but we hadn't realised that because we were running against the clock to catch the flight. I would not recommend this airline.,,Couple Leisure,Economy Class,Stansted,Rhodes,June 2019,,,,1.0,1.0,no,,
659,2019-06-09,1,Ireland,Trip Verified,"""If possible avoid this airline""","Gatwick to Dublin. The reception staff member at Gatwick airport was extremely rude and unprofessional. Afterwards the gate display started very late, for a flight at 0940 it started displaying at 8.45 then 0855, 0900 finally 0920. The queues were so long and airline was understaffed at boarding. After boarding we were taken on a bus almost for 15 mins to the plane, at the time of writing this review tine is 1035 and no sign of take off. If possible avoid this airline.",,Business,Economy Class,Gatwick,Dublin,June 2019,2.0,2.0,,1.0,2.0,no,,
660,2019-06-07,9,Greece,Trip Verified,"""A good experience""","Athens to Berlin Schönefeld. Downloaded the app and checked in with no problem. Did not pay priority and go seat number 3F (window) - sest next to me was empty despite an almost full flight. Embarkation on-time, in a well organized manner, however take off was delayed approximately 40' due to traffic. Landing with a slight delay (20' according to schedule). Travelled only with a rucksack, so did no pay for any extras. Total cost 17€ for a one way flight - superb value for money. Convenient and easy flight. A good experience.",Boeing 737-800,Solo Leisure,Economy Class,Athens,Berlin Schönefeld,March 2019,4.0,4.0,,4.0,5.0,yes,,
661,2019-06-05,1,United Kingdom,Trip Verified,"""not entitled to compensation""","Manchester to Barcelona. Flight cancelled due to fuelling issue, unorganised hell, staff didn’t know what was going on, no information passed on, no alternate flight or accommodation offered. Did not make it on our holiday, and have been told are not entitled to compensation as it’s ‘out of their control’. Well it certainly isn’t the passengers responsibility to fuel the plane. Furious is a under statement, complete lack of compassion or care. And customer service staff very blunt, rude and unhelpful.",,Couple Leisure,Economy Class,Manchester,Barcelona,May 2019,,,,1.0,1.0,no,,
662,2019-06-04,7,United States,Trip Verified,"""second good experience""","Lisbon to Berlin. Second Ryanair experience, and second good experience. Perhaps I've gotten lucky, but I've found the airline to be efficient and very cost effective. Boarding was a bit chaotic and there were two long queues which delayed the departure. As such we left a bit late, but made up time in flight so were basically on schedule. Crew was professional and there were no dramas. I believe the airline offers excellent value, just need to be mindful of all of their rules and you'll be fine. At a third of the price of the major carriers, it's hard to find fault.",Boeing 737,Solo Leisure,Economy Class,Lisbon,Berlin,May 2019,3.0,4.0,3.0,3.0,5.0,yes,,
663,2019-06-04,1,United Kingdom,Trip Verified,"""we were not allowed to queue""","Copenhagen to Stansted. When arriving at the airport we were told that we were not allowed to queue in front of the area where the baggage was dropped off. The explanation we were given by staff was that if we formed a queue this could be seen by the cameras in the airport. The airline, we were told, did not want it to appear as if there was a queue as this would reflect badly on them. Instead we were asked to wait in an area that was not visible to the airport cameras. Usually I have no issues with low cost airlines: You get what you pay for. However, while the rest of our journey was fine and all staff were perfectly polite both on ground and in the air, I am unlikely to want to fly with a company that has policies to cover up information.",,Family Leisure,Economy Class,Copenhagen,Stansted,June 2019,3.0,5.0,,1.0,4.0,no,,
664,2019-06-03,1,United States,Trip Verified,"""pay $50 for the bag""","Stansted to Bucharest. First they charged us to check in $136. Then they put me to pay $50 for the bag I had for my infant, even if I was allowed with one, they said no and i had to pay and they took it away so I did not have diapers to change my baby in the plane. Any company when you have an infant they board you first... not with them... we were the last. When we finally got in the flight attendant was telling me I am not allowed to sit on that seat with an infant... remember that they charged me to check in, finally they found me a place to seat and the plane is delayed so we don’t have AC for almost 2 hours. Finally we leave and the AC still doesn’t work.",,Family Leisure,Economy Class,Stansted,Bucharest,May 2019,1.0,1.0,,1.0,1.0,no,,
665,2019-06-03,1,Canada,Trip Verified,"""tell me I had to check in online""",Porto to Barcelona. Do not fly with Ryanair. They find a way to charge you extra for no reason. I payed an extra 12€ for a small checked in bag just to make sure they wouldn't refuse my small backpack as a carry-on. That was fine. But then what a surprise when i get at the airport and they tell me I had to check in online to have my boarding pass because for some reason they don't do it.  I knew there were extra charges with them but I wasn't expecting to pay 55 Euros for a piece of paper that would have cost nothing to print. The clerk also told me to run because I was tight in time and that they would not wait for me. I ran for my life only to get at the gate and wait for 30 minutes because they have the worst gate management I've ever encountered in all my travels.,,Solo Leisure,Economy Class,Porto,Barcelona,June 2019,2.0,3.0,,2.0,1.0,no,1.0,1.0
666,2019-05-30,2,Israel,Trip Verified,"""extra 20€ for carry on bag""","Milan Bergamo to Tel Aviv. Bad airline, bad customer service. My ticket included 10kg check in bag. When I arrived to the check in counter the representative did not mentioned anything about the need to check in my carry on bag even though she had seen it when I approached her. When I arrived to the boarding the representatives asked me to pay extra 20€ for my carry on bag even though I had showed them that I bought it in advance. The representatives asked me to get out of the line until I will pay the 20€ fee. I ended up paying double - when I purchased the ticket and on boarding 40% of the price of the ticket.",,Solo Leisure,Economy Class,Milan Bergamo,Tel Aviv,May 2019,1.0,2.0,1.0,2.0,1.0,no,1.0,1.0
667,2019-05-29,3,United Kingdom,Trip Verified,"""Overall, terrible experience""","Vienna to  Stansted. I thought that the first time I had the following experience with Ryanair it was some sort of anomaly- oh was I wrong. Ryanair would not send me electronic boarding passes for me and my family. We had to arrive at check in and get those printed. We waited in the luggage drop off/check in line and waited for 20 min. We were given a slip of paper and sent to another line. This line took an hour. Several people in line missed their flights. When we got to our turn in this line, Ryanair for the 2nd time (once previously in Barcelona) accused me of not checking in and tried to charge 50 Euro fees per person to check in. Luckily, both times I had the app downloaded with proof that everyone had been checked in. The worker at the desk in Vienna made some phone calls and they “waived the fee”. We made it through security and once to the gate things were hectic again. The Ryanair attendants were treating a couple from India quite terribly, accusing the woman of having a fake visa. This went on well into our boarding time before someone took the couple away. The young woman was visibly upset at the accusations and other passengers were upset with the way she was treated - regardless of her visa status. When the flight landed in London and people got off the plane, there wasn’t a clear direction to go. I have video of a plane full of people walking around the plane wondering where to enter the airport. Overall, terrible experience. If you have a flight with this airline or it’s partners, I recommend arriving 3 or more hours early to the airport no matter the time of departure.",,Family Leisure,Economy Class,Vienna,Stansted,May 2019,3.0,4.0,,1.0,3.0,no,,1.0
668,2019-05-27,2,Ireland,Trip Verified,"""Such disrespect for customers""",London Gatwick to Dublin with Ryanair. I am now 25 minutes standing at bag drop off point and no staff present. I tried to book priority while checking in so I could take my 10kg bag on board but this was not available. Today’s journey feels like I have stepped back 10yrs in air travel. I am a regular user 8 to 20 time per year but it’s time to use another airline where possible irrespective of price. Such disrespect for customers is hard to believe in 2019.,,Couple Leisure,Economy Class,London Gatwick,Dublin,May 2019,2.0,2.0,2.0,1.0,2.0,no,,
669,2019-05-26,1,United Kingdom,Trip Verified,"""worst carrier I’ve flown""","Ryanair are the worst carrier I’ve flown. Recently I flew from Manchester to Marrakesh and Lisbon to Manchester so my information is up to date. It’s as if Ryanair sets out to test is customers at every step from booking to check in to the moment you get off the plane and are finally free of them. Let’s start with priority boarding. Don’t bother as you will end up queuing in a stairwell with everyone else once you get through the gate. At Manchester we waited for half an hour in a stair way. Some of the older customers were really struggling. We should have been kept at the gate until they were actually ready for us to board. The same happened in Lisbon but this time we were left waiting by the runway with the fumes of the planes blasting over us. Ok then the seats.... the single worst seats I’ve ever sat in on a plane. Rock hard, plastic covered monstrosities. They won’t even tilt back. Awful. The seats actually cause pain. By the time you get on the plane the customers have lost all sense of composure. Their nerves are shot and they are boiling over with anger at the service that they have received. This causes an underlying feeling that someone is going to lose it and kick off. The cabin staff aren’t interested and who can blame them. The must put up with this kind of thing every day. They aren’t cheap flights either so it’s no excuse. They need to improve greatly or I see them losing vast numbers of customers.",,Couple Leisure,Economy Class,Lisbon,Manchester,May 2019,1.0,2.0,,1.0,1.0,no,1.0,
670,2019-05-26,1,Netherlands,Trip Verified,"""horrible as always""","Brussels to Barcelona. Always a horrible experience flying with Ryanair. Employees trying to get money off you wherever they can, horrible waiting times and boarding procedures just to name a few. Just horrible as always flying with them.",,Business,Economy Class,Brussels,Barcelona,May 2019,1.0,1.0,1.0,2.0,1.0,no,,
671,2019-05-25,1,Romania,Trip Verified,"""expect the personnel to be nice""","Cluj Napoca to Southend. I don't want to complain too much, because we all know this is a low-budget airline. You won't expect to have extra services nor a lot of space when you fly here, but you expect the personnel to be nice. I bought priority tickets, both for me and my brother and an extra hand baggage was added. The issue is that after I put my big bag in the storage place above our head and sat down, the stewardess took it out so she can put another clients bag there who was sitting several lines in front of us. She asked me to put my luggage next to my hand luggage under my feet, but it was uncomfortable. She kept apologizing, but realized that the luggage she was trying to put up there instead of mine was too big. So she sent that down. I asked if I can have my luggage put back there, she said yes, but didn't move a finger to do it so, she even left. I paid for that place and I considered it very rude that she took out my baggage so she can put there someone else's.",,Family Leisure,Economy Class,Cluj Napoca,Southend,May 2019,3.0,1.0,,1.0,4.0,yes,,
672,2019-05-23,1,Germany,Trip Verified,"""They still charged me""","Malaga to Berlin. Worst customer service I have ever experienced. I had to take take a Ryanair flight for business as they were the only company flying out of Madrid in the morning and could not check-in online because neither the app nor the website would work. I tried 5-6 times, both the previous evening and the morning of departure, but the seats I chose kept disappearing and then reappearing and I got the message “Error 500”. On the day of departure, I kindly asked the staff to check me in at the airport, but they said they had to charge me 55 euros because I didn’t comply with the (stupid) terms and conditions. I explained that I travel every single week for business and that I know the rules but the site wasn’t working - not on mobile and not on desktop or app. They still charged me and accused me of lying. I wrote a complain and the customer service there said that it was my fault for not complying to the terms, even though they made it impossible to. Long story short: Ryanair has awful, uncomfortable planes, but I could get over it if their customer service wasn’t so rude and their policies so unreasonable. They make money out of creating bugs on their website and charge you for their own mistakes. I am shocked!",,Business,Economy Class,Malaga,Berlin,May 2019,1.0,1.0,1.0,1.0,1.0,no,1.0,
673,2019-05-22,7,United States,Trip Verified,"""a good experience""","Luton to Girona. First Ryanair experience, went into this expecting the worst, ended up being a good experience. First of all their app is as good as any in the industry, which helps. The additional services they upsell (too frequently) are sensible and clear, and can be decent value. The need to physically print a paper boarding pass for non EU or UK passengers is the only real headache and lacks sensibility. You can check in on the app, but then need to use a desktop computer and printer to get the boarding pass, which is absurd. With all that done, the flight was on time, plane was ok, crews good and in the end this was excellent value. Honestly, legacy carriers like BA for short haul don't really provide more than Ryanair. You have to pay for a seat allocation, pay for food, no in seat power, no IFE and Ryanair is significantly cheaper most of the time. The overall experience exceeded expectations. It is no frills, but everything worked.",,Business,Economy Class,Luton,Girona,May 2019,3.0,3.0,,4.0,5.0,yes,,
674,2019-05-22,1,United Kingdom,Trip Verified,"""charged extra £20 for my bag""","Edinburgh to Malaga. Absolutely disgusted. The staff were rude, misinformed me and charged me an extra £20 for my bag even though I asked Ryanair staff at the check in desk if I needed to check it in downstairs and they said no. Of course when I got up to the gate they told me i should have, it was too late and I altogether paid £32 to take a small wheely bag one way.",,Couple Leisure,Economy Class,Edinburgh,Malaga,May 2019,2.0,3.0,1.0,1.0,1.0,no,,
675,2019-05-21,8,Belgium,Trip Verified,"""would fly them without hesitation""","Brussels to Barcelona return. Outbound flight delayed with one hour due to ATC strikes in France so not the fault of Ryanair. Inbound flight on time departure and arrival. Cabin crew on both flights friendly. Captain (Dutch) on the return seemed to like his job which is always a bonus. New aircraft on both flights with the Boeing Sky Interior and new seats which was nice and a bit better for my back. Priority boarding is a totally different concept anymore now and they should rename it as yes you are still the first to board the plane...but probably with about 100 other passengers as it seems that most travellers take the priority boarding option. I don't understand why many people complain about this airline, if you read the rules well and follow them there should be no problem especially when you got a good price it's a very good price/quality product! I would fly them without hesitation when price and hours are acceptable.",Boeing 737-800,Solo Leisure,Economy Class,Brussels,Barcelona,May 2019,4.0,4.0,,4.0,5.0,yes,,
676,2019-05-21,9,United States,Trip Verified,"""everything with my flight went fine""",Milan to Madrid with Ryanair. I don't want to minimize the negative reviews on here from other passengers but everything with my flight went fine. I read through all of their rules and looked at some online resources about how to make sure I didn't get surprised with any fees at the airport. I reserved a seat in the emergency exit row for extra legroom and paid for my bag in advance. I got to the airport two and a half hours early. The flight left on time and everything went just fine. I was actually scared to fly this airline but now that it worked for me once I'll probably fly them again in the future. Especially since the price was less than half of what a full fare carrier would have charged me for the same route.,Boeing 737-800,Solo Leisure,Economy Class,Milan,Madrid,May 2019,3.0,4.0,,4.0,5.0,yes,,
677,2019-05-19,1,Morocco,Trip Verified,"""a very bad experience.""",Stansted to Rabat. Not oriented customer satisfaction. Frequently delayed. Last delay was around 4 hours (09/05 from Rabat to London). You pay extra fees to have a minimum of premium service seat in row 01 and you have to put you cabin bags and luggage around seats row 20 because flight attendants are discussing instead of organizing the boarding (some passengers were with 5 bags and seated in rank 4 and occupying all the overhead lockers of row 1/2. Plane wasn’t clean. Announcement inaudible etc. Just a very bad experience.,,Solo Leisure,Economy Class,Stansted,Rabat,May 2019,1.0,1.0,,1.0,2.0,no,,
678,2019-05-18,1,United Kingdom,Trip Verified,"""charge to print your boarding pass""","Luton to Athens. Heartless people, no customer focus, poor customer service not understanding what people want. I will never fly with Ryanair and Luton ever again. They look cheap and by the time you book your ticket they rip you off they charge you even the paper to print your boarding pass so you ending up paying a ticket more than British Airways. Trust me do your math before you book very manipulative.",,Family Leisure,Economy Class,Luton,Athens,May 2019,1.0,1.0,,1.0,1.0,no,,
679,2019-05-18,10,United Kingdom,Trip Verified,"""do the job without fuss """,Faro to Stansted. I cannot understand why Ryanair are not rated higher. My flights were cheap. They were on time. Planes were clean. Cabin crew polite and friendly. Food and drink expensive but cheaper that a full fare airline where it’s provided free. Flights were smooth. Ground handling perfect. Don’t have any issue with flying this airline - they do the job without fuss and at a good price.,Boeing 737-800,Family Leisure,Economy Class,Faro,Stansted,May 2019,4.0,5.0,3.0,4.0,5.0,yes,,
680,2019-05-18,1,United Kingdom,Trip Verified,"""not customer friendly actions""","Stansted to Lanzarote. Their random seating option that ensures that 2 people never sit together unless they pay and choose for their seat has to be one of the most selfish and not customer friendly actions of all. When other airlines are focused on better customer service, Ryanair constantly strives to put their money interest first and the people they are serving last. Avoid like the plague, it’s worth paying a bit more for a safer and more enjoyable flight.",,Couple Leisure,Economy Class,Stansted,Lanzarote,April 2019,1.0,2.0,,1.0,1.0,no,,
681,2019-05-14,8,United States,Trip Verified,"""a comfortable flight""",Travelled from Rome to Eindhoven. It was a comfortable flight. Boarding was a little slow due to tha late arrival of aircraft. Check in was smooth. A little walk in Eindhoven due to unusual path from plane to terminal.,Boeing 737,Solo Leisure,Economy Class,Rome,Eindhoven,April 2019,4.0,4.0,,4.0,5.0,yes,,
682,2019-05-13,1,Italy,Not Verified,"""Never again on Ryanair""","Venice to London Stansted. Worst experience ever. I have been flying frequently for 27 years for work and leisure and I never received such a combination of bad treatment by airline ground staff and disorganized assistance. 2.5 hour delay on the outbound flight and left down on the return flight after checking in luggage. Big trouble at automatic luggage drop in after check-in online, without proper assistance. Delays made us (family of 4) late at the gate and the gate closed just a few seconds before our arrival. No flexibility to let us in the plane. Luggage drop off and one day late return home with big work troubles. Never again on Ryanair. Do not fly with them. They are the worst airline in the world!",,Family Leisure,Economy Class,Venice,London Stansted,May 2019,1.0,4.0,,1.0,1.0,no,1.0,1.0
683,2019-05-12,1,Germany,Trip Verified,"""the worst experience""","Berlin to Athens. It’s the worst experience I have ever had. They opened a few counter for luggage dropping. It takes an hour! In the middle of our line, I went to the front desk ask to drop our luggage. The agent asked us to get back in line and wait. They speak terrible English. When we get to the front desk, they told me luggage drop in was closed. They have announced it. We never understood what they were announcing. They just told us to book next flight. I  will not book their flight again. It’s a long line, long wait, and they don’t allow you sit together if you don’t pay more. Worst service. Have to pay more for luggage.",,Couple Leisure,Economy Class,Berlin,Athens,May 2019,1.0,1.0,1.0,1.0,1.0,no,1.0,1.0
684,2019-05-12,1,United Kingdom,Trip Verified,"""pay for cabin luggage""","Belfast to Manchester. Terrible airline, you now have to pay for cabin luggage and to sit beside your travel partner/s. I will never travel with them again. Avoid at all costs!!",,Couple Leisure,Economy Class,Belfast,Manchester,May 2019,1.0,2.0,1.0,1.0,2.0,no,,
685,2019-05-12,1,United Kingdom,Trip Verified,"""made me pay £20 for cabin luggage""","Edinburgh to Barcelona. Worst airline I have ever been. Rude and unfriendly staff, they made me pay £20 for my cabin luggage.  Even if they made me pay for my hand luggage, they didn't allow me to take into the flight, they took away to go in the hold.  They make the tickets so cheap and affordable in their website hence once you are there, they charge you for seat, for cabin baggage!  Never again with Ryanair. I had stressful experience.",,Family Leisure,Economy Class,Edinburgh,Barcelona,May 2019,1.0,1.0,,1.0,1.0,no,,
686,2019-05-11,1,United Kingdom,Trip Verified,"""the prices changed""","Stansted to Bucharest. I choose my dates in June 2019 and my seats and when I wanted to pay a window popped up and said that a problem has occurred and I have to choose everything once again. When I did that, which took me few seconds, the prices changed, even priority and seats prices.",,Family Leisure,Economy Class,Stansted,Bucharest,May 2019,,,,,1.0,no,,
687,2019-05-11,1,United Kingdom,Trip Verified,"""Departure was a nightmare""","Leeds Bradford to Malaga. Departure was a nightmare, no one knew what was going on. The flight was delayed over 3 hours. We were sent a food and drinks voucher which we couldn’t use as it only applied to certain shops (great if you wanted ice cream for tea) and as we had gone past security it was pretty useless. For every delay we didn’t get the messages in time so we were stuck outside the gate. Then when we finally got on the plane, we were stuck on it for over an hour. Because of this mess we hadn’t managed to have a proper meal, no free food was offered. I got home at 4am and I am now severely jet lagged as overall we had travelled (including wait times) for nearly 10 hours. If there were delays on Wednesday why were we not told when the delays started more warning could’ve been given. To top it all off, they also lost my luggage. Never flying with them again.",,Solo Leisure,Economy Class,Leeds Bradford,Malaga,May 2019,1.0,2.0,1.0,1.0,1.0,no,,
688,2019-05-10,1,United Kingdom,Trip Verified,"""I regret flying them""","Malta to Stansted. My friend and i flew Ryanair on the 6th May carrying a cabin bag. At the gate we were asked to pay £20 for our bag . According to the airline staff ""we did not check the bags downstairs for free. We paid it. I then asked her if we needed to pay for priority on our way back in order to take our bags and she said no. We can check it in free. On our way back on the 9th of may, we went to check our bags as we were told. But were asked to pay €20 each. The lady said this is Malta not London i dont know what you were told there. We asked to pay for priority as we were misinformed but were told priority was finished. This is really disheartening as when i checked in online it stated i can check in a cabin bag for free. I regret flying them.",FR8852,Solo Leisure,Economy Class,Malta,Stansted,May 2019,1.0,1.0,1.0,1.0,1.0,no,,
689,2019-05-10,1,United Kingdom,Trip Verified,"""This airline has got to be the worst""","Gatwick to Alicante. This airline has got to be the worst I have ever flown with, they give you a cheap price for the ticket then get you at the airport for as much money as they can get out of you. For example cabin luggage we had to pay £40.00 for a cabin case that is accepted on every airline on the planet and the only one they will accept is no bigger than your wallet (funny that!) and soon they will probably start charging for that soon. Then if you don’t pay extra again for your seat they make sure one of you is at the front of the aeroplane and the other is at the back. I will never fly with Ryanair again because if you fly with a normal airline it works out cheaper in the end as I have checked this so save all the grief and pay the few pounds extra when you go to a normal airline and you will save money and stress.",,Solo Leisure,Economy Class,Gatwick,Alicante,May 2019,1.0,2.0,1.0,1.0,1.0,no,,
690,2019-05-10,6,Hungary,Trip Verified,"""no-fuss service""
","Berlin to Budapest. Fast boarding, fast take-off, efficient though no-fuss service all along. Departure and arrival both on time. Only complaint is that seats didn't recline.",,Solo Leisure,Economy Class,Berlin,Budapest,May 2019,2.0,3.0,,3.0,5.0,yes,,
691,2019-05-09,2,United Kingdom,Not Verified,"""its just not a nice experience""","Flying back to England from Corfu, we hadn't been given our return flight check in details previously as we do with other airlines so just assumed they would be given to us at Corfu airport. Wrong!They said we should have printed them off before ourselves. Never come across this before with other airlines and we've flown a lot over the years. Now it was 2 hours to the flight that facility was closed and we'd have to pay 55 euros each extra. The original flight cost was only £71 each return so that was too much. A rip off. Fair enough to charge us a bit but not that much. Then we were given our seat numbers and surprise surprise we weren't seated together even though the plane was half empty. We then proceeded on the plane to all swap seats so people were sat next to each other which because of all the empty seats was no problem. I know we could have paid to sit next to each other, but again they charge too much. £2 or £3 and I like many people would pay, but not £9 each,each way. Greedy. Altogether its just not a nice experience. Contrast that to Jet2, what a difference. Will try my hardest to never book a holiday with Ryanair flights attached to it again.",Boeing 737,Couple Leisure,Premium Economy,Corfu,Southend,May 2019,3.0,5.0,,3.0,2.0,no,,
692,2019-05-09,2,United Kingdom,Trip Verified,"""made me pay an extra 20£""","East Midlands to Barcelona. Having paid for an extra 10kg of luggage on the booking, the check-in staff made me pay an extra 20£ because it hadn't been checked in. 20£ extra for a ground handling agent to bash your luggage into the cargo.",Boeing 737-800,Solo Leisure,Economy Class,East Midlands,Barcelona,May 2019,2.0,1.0,2.0,1.0,1.0,no,,
693,2019-05-08,1,Canada,Trip Verified,"""4 hours of torture""","London to Lisbon. Worst airline I’ve ever dealt with in my life. First you have to check in online and print your boarding pass, they do not accept e-copies! Otherwise, you have to pay 55£. Next, the flight was late about one hour and forty minutes without any explanation of or any apologize. Flight was scheduled at 9h50 but did not fly before 11h30. For a short trip such lost time means a lot. Staff on boarding was so rude and does not treat passengers with respect. Seats were too small and no space for legs. They do not provide anything - even water. More than 4 hours (including waiting and flight times) of torture. I felt as if I were detained. Do not recommend at all.",,Solo Leisure,Economy Class,London,Lisbon,April 2019,1.0,1.0,1.0,1.0,2.0,no,1.0,
